bioguide_id,govtrack_id,thomas_id,opensecrets_id,icpsr_id,fec_ids,maplight_id,wikipedia,wikidata,first_name,last_name,display_name,term_type,chamber,state,district,party,start_date,end_date,start_year,end_year,years,congress_start,congress_end
A000009,400672,00001,,14000.0,,,James Abdnor,Q614868,James,Abdnor,James Abdnor,rep,house,SD,2.0,Republican,1973-01-03,1975-01-03,1973,1975,1973-1975,93,94
A000009,400672,00001,,14000.0,,,James Abdnor,Q614868,James,Abdnor,James Abdnor,rep,house,SD,2.0,Republican,1975-01-14,1977-01-03,1975,1977,1975-1977,94,95
A000009,400672,00001,,14000.0,,,James Abdnor,Q614868,James,Abdnor,James Abdnor,rep,house,SD,2.0,Republican,1977-01-04,1979-01-03,1977,1979,1977-1979,95,96
A000009,400672,00001,,14000.0,,,James Abdnor,Q614868,James,Abdnor,James Abdnor,rep,house,SD,2.0,Republican,1979-01-15,1981-01-03,1979,1981,1979-1981,96,97
A000009,400672,00001,,14000.0,,,James Abdnor,Q614868,James,Abdnor,James Abdnor,sen,senate,SD,,Republican,1981-01-05,1987-01-03,1981,1987,1981-1987,97,100
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,1985-01-03,1987-01-03,1985,1987,1985-1987,99,100
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,1991-01-03,1993-01-03,1991,1993,1991-1993,102,103
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,1993-01-05,1995-01-03,1993,1995,1993-1995,103,104
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,1995-01-04,1997-01-03,1995,1997,1995-1997,104,105
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,1997-01-07,1999-01-03,1997,1999,1997-1999,105,106
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,1999-01-06,2001-01-03,1999,2001,1999-2001,106,107
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,2001-01-03,2003-01-03,2001,2003,2001-2003,107,108
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,2003-01-07,2005-01-03,2003,2005,2003-2005,108,109
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,2005-01-04,2007-01-03,2005,2007,2005-2007,109,110
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,2007-01-04,2009-01-03,2007,2009,2007-2009,110,111
A000014,400001,00002,N00007665,15245.0,H6HI01121,,Neil Abercrombie,Q469689,Neil,Abercrombie,Neil Abercrombie,rep,house,HI,1.0,Democrat,2009-01-06,2010-03-01,2009,2010,2009-2010,111,111
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,7.0,Democrat,1983-01-03,1985-01-03,1983,1985,1983-1985,98,99
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,7.0,Democrat,1985-01-03,1987-01-03,1985,1987,1985-1987,99,100
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,7.0,Democrat,1987-01-06,1989-01-03,1987,1989,1987-1989,100,101
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,7.0,Democrat,1989-01-03,1991-01-03,1989,1991,1989-1991,101,102
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,7.0,Democrat,1991-01-03,1993-01-03,1991,1993,1991-1993,102,103
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,1993-01-05,1995-01-03,1993,1995,1993-1995,103,104
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,1995-01-04,1997-01-03,1995,1997,1995-1997,104,105
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,1997-01-07,1999-01-03,1997,1999,1997-1999,105,106
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,1999-01-06,2001-01-03,1999,2001,1999-2001,106,107
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,2001-01-03,2003-01-03,2001,2003,2001-2003,107,108
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,2003-01-07,2005-01-03,2003,2005,2003-2005,108,109
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,2005-01-04,2007-01-03,2005,2007,2005-2007,109,110
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,2007-01-04,2009-01-03,2007,2009,2007-2009,110,111
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,2009-01-06,2011-01-03,2009,2011,2009-2011,111,112
A000022,400003,00004,N00001143,15000.0,H4NY07011,,Gary Ackerman,Q972029,Gary,Ackerman,Gary L. Ackerman,rep,house,NY,5.0,Democrat,2011-01-05,2013-01-03,2011,2013,2011-2013,112,113
A000031,400692,00005,,10700.0,,,Brock Adams,Q357718,Brockman,Adams,Brockman Adams,rep,house,WA,7.0,Democrat,1965-01-04,1967-01-03,1965,1967,1965-1967,89,90
A000031,400692,00005,,10700.0,,,Brock Adams,Q357718,Brockman,Adams,Brockman Adams,rep,house,WA,7.0,Democrat,1967-01-10,1969-01-03,1967,1969,1967-1969,90,91
A000031,400692,00005,,10700.0,,,Brock Adams,Q357718,Brockman,Adams,Brockman Adams,rep,house,WA,7.0,Democrat,1969-01-03,1971-01-03,1969,1971,1969-1971,91,92
A000031,400692,00005,,10700.0,,,Brock Adams,Q357718,Brockman,Adams,Brockman Adams,rep,house,WA,7.0,Democrat,1971-01-21,1973-01-03,1971,1973,1971-1973,92,93
A000031,400692,00005,,10700.0,,,Brock Adams,Q357718,Brockman,Adams,Brockman Adams,rep,house,WA,7.0,Democrat,1973-01-03,1975-01-03,1973,1975,1973-1975,93,94
A000031,400692,00005,,10700.0,,,Brock Adams,Q357718,Brockman,Adams,Brockman Adams,rep,house,WA,7.0,Democrat,1975-01-14,1977-01-03,1975,1977,1975-1977,94,95
A000031,400692,00005,,10700.0,,,Brock Adams,Q357718,Brockman,Adams,Brockman Adams,rep,house,WA,7.0,Democrat,1977-01-04,1979-01-03,1977,1979,1977-1979,95,96
A000031,400692,00005,,10700.0,,,Brock Adams,Q357718,Brockman,Adams,Brockman Adams,sen,senate,WA,,Democrat,1987-01-06,1993-01-03,1987,1993,1987-1993,100,103
A000052,400713,00006,,10500.0,,,Joseph P. Addabbo,Q6286109,Joseph,Addabbo,Joseph Addabbo,rep,house,NY,5.0,Democrat,1961-01-03,1963-01-03,1961,1963,1961-1963,87,88
A000052,400713,00006,,10500.0,,,Joseph P. Addabbo,Q6286109,Joseph,Addabbo,Joseph Addabbo,rep,house,NY,7.0,Democrat,1963-01-09,1965-01-03,1963,1965,1963-1965,88,89
A000052,400713,00006,,10500.0,,,Joseph P. Addabbo,Q6286109,Joseph,Addabbo,Joseph Addabbo,rep,house,NY,7.0,Democrat,1965-01-04,1967-01-03,1965,1967,1965-1967,89,90
A000052,400713,00006,,10500.0,,,Joseph P. Addabbo,Q6286109,Joseph,Addabbo,Joseph Addabbo,rep,house,NY,7.0,Democrat,1967-01-10,1969-01-03,1967,1969,1967-1969,90,91
